message,timestamp,severity,tags,attributes
"
╔══════════════════════════════ Nixpacks v1.41.0 ══════════════════════════════╗
║ setup      │ nodejs_18, pnpm-10_x, openssl                                   ║
║──────────────────────────────────────────────────────────────────────────────║
║ install    │ npm install -g corepack@0.24.1 && corepack enable               ║
║            │ pnpm i --frozen-lockfile                                        ║
║──────────────────────────────────────────────────────────────────────────────║
║ build      │ pnpm run typecheck && pnpm --filter @workspace/burkinawatch run ║
║            │ build && pnpm --filter @workspace/api-server run build          ║
║──────────────────────────────────────────────────────────────────────────────║
║ start      │ SERVE_WEB=true node --enable-source-maps artifacts/api-         ║
║            │ server/dist/index.mjs                                           ║
╚══════════════════════════════════════════════════════════════════════════════╝

",2026-09-13T03:41:59.98912601Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:bfe041c0687f3f023ed35d53036db48af5b9dc3d54f515342a091aa9a740a262"",""stream"":1,""data"":""CuKVlOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkCBOaXhwYWNrcyB2MS40MS4wIOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVkOKVlwrilZEgc2V0dXAgICAgICDilIIgbm9kZWpzXzE4LCBwbnBtLTEwX3gsIG9wZW5zc2wgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgIOKVkQrilZHilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilIDilZEK4pWRIGluc3RhbGwgICAg4pSCIG5wbSBpbnN0YWxsIC1nIGNvcmVwYWNrQDAuMjQuMSAmJiBjb3JlcGFjayBlbmFibGUgICAgICAgICAgICAgICDilZEK4pWRICAgICAgICAgICAg4pSCIHBucG0gaSAtLWZyb3plbi1sb2NrZmlsZSAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICDilZEK4pWR4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pSA4pWRCuKVkSBidWlsZCAgICAgIOKUgiBwbnBtIHJ1biB0eXBlY2hlY2sgJiYgcG5wbSAtLWZpbHRlciBAd29ya3NwYWNlL2J1cmtpbmF3YXRjaCBydW4g4pWRCuKVkSAgICAgICAgICAgIOKUgiBidWlsZCAmJiBwbnBtIC0tZmlsdGVyIEB3b3Jrc3BhY2UvYXBpLXNlcnZlciBydW4gYnVpbGQgICAgICAgICAg4pWRCuKVkeKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKUgOKVkQrilZEgc3RhcnQgICAgICDilIIgU0VSVkVfV0VCPXRydWUgbm9kZSAtLWVuYWJsZS1zb3VyY2UtbWFwcyBhcnRpZmFjdHMvYXBpLSAgICAgICAgIOKVkQrilZEgICAgICAgICAgICDilIIgc2VydmVyL2Rpc3QvaW5kZXgubWpzICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgIOKVkQrilZrilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZDilZ0KCg=="",""timestamp"":""2026-09-13T03:41:59.98912601Z""}"
"
Saved output to:
  /out
",2026-09-13T03:41:59.989463757Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""log"",""vertex"":""sha256:bfe041c0687f3f023ed35d53036db48af5b9dc3d54f515342a091aa9a740a262"",""stream"":1,""data"":""ClNhdmVkIG91dHB1dCB0bzoKICAvb3V0Cg=="",""timestamp"":""2026-09-13T03:41:59.989463757Z""}"
[railway] prepare nixpacks-v1.41.0,2026-09-13T03:42:00.590459477Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bfe041c0687f3f023ed35d53036db48af5b9dc3d54f515342a091aa9a740a262"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:7cafcf6454b974edec39ff8c912002598e49b3bee5bca6f8f69c0252b2ad1bf3"",""sha256:3cac7a5750f656178b512b0d3a5cb41c07c67d58e01edde862e4af4adb51bb24""],""started"":""2026-09-13T03:41:59.408294495Z"",""completed"":""2026-09-13T03:42:00.590083984Z""}"
🚂 Caching Disabled - build performance will be impacted,2026-09-13T03:42:00.930877619Z,warn,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""warn""}"
[internal] load build definition from Dockerfile,2026-09-13T03:42:00.935059022Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e51023338d900851538b3c7834b2aee93587b1472cadf5dbb3456863567360e1""}"
[internal] load build definition from Dockerfile,2026-09-13T03:42:00.935386424Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e51023338d900851538b3c7834b2aee93587b1472cadf5dbb3456863567360e1"",""started"":""2026-09-13T03:42:00.935043499Z"",""completed"":""2026-09-13T03:42:00.935142908Z""}"
[internal] load build definition from Dockerfile,2026-09-13T03:42:00.935575978Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e51023338d900851538b3c7834b2aee93587b1472cadf5dbb3456863567360e1"",""started"":""2026-09-13T03:42:00.935365923Z""}"
[internal] load build definition from Dockerfile,2026-09-13T03:42:01.577595700Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e51023338d900851538b3c7834b2aee93587b1472cadf5dbb3456863567360e1"",""started"":""2026-09-13T03:42:00.935365923Z"",""completed"":""2026-09-13T03:42:01.577144463Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-09-13T03:42:01.640187993Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""started"":""2026-09-13T03:42:01.639710637Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-09-13T03:42:01.976301345Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""173fb6ae-0132-42cc-86b9-eeb0008d6df6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""started"":""2026-09-13T03:42:01.639710637Z"",""completed"":""2026-09-13T03:42:01.975952892Z""}"
